id|nct_id|result_group_id|ctgov_group_code|units|scope|count
148012|NCT03134313|1268557|B1|Participants|Overall|25
148013|NCT03125031|1268561|B1|Participants|Overall|44
148014|NCT03125005|1268566|B1|Participants|Overall|51
148015|NCT03124966|1268570|B1|Participants|Overall|118
148016|NCT03124927|1268574|B1|Participants|Overall|25
148017|NCT03124901|1268578|B1|Participants|Overall|147
148018|NCT03124771|1268582|B1|Participants|Overall|132
148019|NCT03124758|1268586|B1|Participants|Overall|354
148020|NCT03124693|1268590|B1|Participants|Overall|90
148021|NCT03119831|1268594|B4|Participants|Overall|42
148022|NCT03119831|1268595|B3|Participants|Overall|14
148023|NCT03119831|1268596|B2|Participants|Overall|14
148024|NCT03119831|1268597|B1|Participants|Overall|14
148025|NCT03106870|1268616|B3|Participants|Overall|62
148026|NCT03106870|1268617|B2|Participants|Overall|31
148027|NCT03106870|1268618|B1|Participants|Overall|31
148028|NCT03106337|1268629|B1|Participants|Overall|35
148029|NCT03072719|1268634|B3|Participants|Overall|120
148030|NCT03072719|1268635|B2|Participants|Overall|60
148031|NCT03072719|1268636|B1|Participants|Overall|60
148032|NCT03070730|1268647|B4|Participants|Overall|0
148033|NCT03070730|1268648|B3|Participants|Overall|0
148034|NCT03070730|1268649|B2|Participants|Overall|0
148035|NCT03070730|1268650|B1|Participants|Overall|0
148036|NCT03065933|1268783|B1|Participants|Overall|5
148037|NCT03061513|1268787|B3|Participants|Overall|10
148038|NCT03061513|1268788|B2|Participants|Overall|4
148039|NCT03061513|1268789|B1|Participants|Overall|6
148040|NCT03048006|1268798|B1|Participants|Overall|44456
148041|NCT03047447|1268804|B4|Participants|Overall|30
148042|NCT03047447|1268805|B3|Participants|Overall|10
148043|NCT03047447|1268806|B2|Participants|Overall|10
148044|NCT03047447|1268807|B1|Participants|Overall|10
148045|NCT03043534|1268829|B3|Participants|Overall|29
148046|NCT03043534|1268830|B2|Participants|Overall|14
148047|NCT03043534|1268831|B1|Participants|Overall|15
148048|NCT03041298|1268840|B1|Participants|Overall|1537
148049|NCT03039179|1268848|B3|Participants|Overall|80
148050|NCT03039179|1268849|B2|Participants|Overall|42
148051|NCT03039179|1268850|B1|Participants|Overall|38
148052|NCT03037541|1268859|B3|Participants|Overall|60
148053|NCT03037541|1268860|B2|Participants|Overall|30
148054|NCT03037541|1268861|B1|Participants|Overall|30
148055|NCT03035955|1268870|B3|Participants|Overall|20
148056|NCT03035955|1268871|B2|Participants|Overall|10
148057|NCT03035955|1268872|B1|Participants|Overall|10
148058|NCT03026803|1268879|B1|Participants|Overall|4
148059|NCT03023709|1268883|B3|Participants|Overall|3
148060|NCT03023709|1268884|B2|Participants|Overall|0
148061|NCT03023709|1268885|B1|Participants|Overall|3
148062|NCT03023683|1268894|B3|Participants|Overall|18
148063|NCT03023683|1268895|B2|Participants|Overall|18
148064|NCT03023683|1268896|B1|Participants|Overall|0
148065|NCT03023553|1268905|B3|Participants|Overall|12
148066|NCT03023553|1268906|B2|Participants|Overall|8
148067|NCT03023553|1268907|B1|Participants|Overall|4
148068|NCT03023488|1268916|B1|Participants|Overall|46
148069|NCT03023176|1268929|B1|Participants|Overall|20
148070|NCT03023137|1268934|B3|Participants|Overall|336
148071|NCT03023137|1268935|B2|Participants|Overall|162
148072|NCT03023137|1268936|B1|Participants|Overall|174
148073|NCT03022435|1268963|B6|Participants|Overall|22
148074|NCT03022435|1268964|B5|Participants|Overall|3
148075|NCT03022435|1268965|B4|Participants|Overall|3
148076|NCT03022435|1268966|B3|Participants|Overall|6
148077|NCT03022435|1268967|B2|Participants|Overall|5
148078|NCT03022435|1268968|B1|Participants|Overall|5
148079|NCT03022422|1268989|B7|Participants|Overall|63
148080|NCT03022422|1268990|B6|Participants|Overall|5
148081|NCT03022422|1268991|B5|Participants|Overall|5
148082|NCT03022422|1268992|B4|Participants|Overall|12
148083|NCT03022422|1268993|B3|Participants|Overall|23
148084|NCT03022422|1268994|B2|Participants|Overall|10
148085|NCT03022422|1268995|B1|Participants|Overall|8
148086|NCT03020537|1269020|B3|Participants|Overall|8
148087|NCT03020537|1269021|B2|Participants|Overall|7
148088|NCT03020537|1269022|B1|Participants|Overall|1
148089|NCT03020498|1269031|B4|Participants|Overall|91
